model,model_hf_id,layer,group,debiased_CKA
KLUE-RoBERTa,klue/roberta-base,1,shuffle,0.570005
KLUE-RoBERTa,klue/roberta-base,2,shuffle,0.431673
KLUE-RoBERTa,klue/roberta-base,3,shuffle,0.388998
KLUE-RoBERTa,klue/roberta-base,4,shuffle,0.263559
KLUE-RoBERTa,klue/roberta-base,5,shuffle,0.31974
KLUE-RoBERTa,klue/roberta-base,6,shuffle,0.211701
KLUE-RoBERTa,klue/roberta-base,7,shuffle,0.195653
KLUE-RoBERTa,klue/roberta-base,8,shuffle,0.23765
KLUE-RoBERTa,klue/roberta-base,9,shuffle,0.187367
KLUE-RoBERTa,klue/roberta-base,10,shuffle,0.208723
KLUE-RoBERTa,klue/roberta-base,11,shuffle,0.256014
KLUE-RoBERTa,klue/roberta-base,12,shuffle,0.235478
KLUE-RoBERTa,klue/roberta-base,0,control,-0.023662
KLUE-RoBERTa,klue/roberta-base,1,control,-0.019883
KLUE-RoBERTa,klue/roberta-base,2,control,-0.004865
KLUE-RoBERTa,klue/roberta-base,3,control,-0.034716
KLUE-RoBERTa,klue/roberta-base,4,control,0.014583
KLUE-RoBERTa,klue/roberta-base,5,control,-0.015803
KLUE-RoBERTa,klue/roberta-base,6,control,0.020383
KLUE-RoBERTa,klue/roberta-base,7,control,0.15714
KLUE-RoBERTa,klue/roberta-base,8,control,-0.063521
KLUE-RoBERTa,klue/roberta-base,9,control,-0.078178
KLUE-RoBERTa,klue/roberta-base,10,control,0.024182
KLUE-RoBERTa,klue/roberta-base,11,control,-0.043013
KLUE-RoBERTa,klue/roberta-base,12,control,-0.0157
KoBERT,monologg/kobert,0,original,0.094224
KoBERT,monologg/kobert,1,original,0.087114
KoBERT,monologg/kobert,2,original,0.094246
KoBERT,monologg/kobert,3,original,0.095136
KoBERT,monologg/kobert,4,original,0.094919
KoBERT,monologg/kobert,5,original,0.092053
KoBERT,monologg/kobert,6,original,0.091719
KoBERT,monologg/kobert,7,original,0.089099
KoBERT,monologg/kobert,8,original,0.085774
KoBERT,monologg/kobert,9,original,0.083157
KoBERT,monologg/kobert,10,original,0.080233
KoBERT,monologg/kobert,11,original,0.078291
KoBERT,monologg/kobert,12,original,0.079495
KoBERT,monologg/kobert,0,shuffle,0.103375
KoBERT,monologg/kobert,1,shuffle,0.042523
KoBERT,monologg/kobert,2,shuffle,0.084316
KoBERT,monologg/kobert,3,shuffle,0.094185
KoBERT,monologg/kobert,4,shuffle,0.094638
KoBERT,monologg/kobert,5,shuffle,0.097139
KoBERT,monologg/kobert,6,shuffle,0.099054
KoBERT,monologg/kobert,7,shuffle,0.100149
KoBERT,monologg/kobert,8,shuffle,0.100252
KoBERT,monologg/kobert,9,shuffle,0.100134
KoBERT,monologg/kobert,10,shuffle,0.099304
KoBERT,monologg/kobert,11,shuffle,0.099811
KoBERT,monologg/kobert,12,shuffle,0.09968
KoBERT,monologg/kobert,0,control,-9.8e-05
KoBERT,monologg/kobert,1,control,0.000277
KoBERT,monologg/kobert,2,control,0.000326
KoBERT,monologg/kobert,3,control,0.000338
KoBERT,monologg/kobert,4,control,0.000327
KoBERT,monologg/kobert,5,control,0.00035
KoBERT,monologg/kobert,6,control,0.000354
KoBERT,monologg/kobert,7,control,0.000334
KoBERT,monologg/kobert,8,control,0.000346
KoBERT,monologg/kobert,9,control,0.000345
KoBERT,monologg/kobert,10,control,0.00036
KoBERT,monologg/kobert,11,control,0.000334
KoBERT,monologg/kobert,12,control,0.000339
KR-BERT,snunlp/KR-BERT-char16424,0,original,0.588567
KR-BERT,snunlp/KR-BERT-char16424,1,original,0.577133
KR-BERT,snunlp/KR-BERT-char16424,2,original,0.692299
KR-BERT,snunlp/KR-BERT-char16424,3,original,0.574475
KR-BERT,snunlp/KR-BERT-char16424,4,original,0.559853
KR-BERT,snunlp/KR-BERT-char16424,5,original,0.562463
KR-BERT,snunlp/KR-BERT-char16424,6,original,0.564835
KR-BERT,snunlp/KR-BERT-char16424,7,original,0.543388
KR-BERT,snunlp/KR-BERT-char16424,8,original,0.411777
KR-BERT,snunlp/KR-BERT-char16424,9,original,0.522927
KR-BERT,snunlp/KR-BERT-char16424,10,original,0.533513
KR-BERT,snunlp/KR-BERT-char16424,11,original,0.540396
KR-BERT,snunlp/KR-BERT-char16424,12,original,0.498219
KR-BERT,snunlp/KR-BERT-char16424,0,shuffle,0.587281
KR-BERT,snunlp/KR-BERT-char16424,1,shuffle,0.43961
KR-BERT,snunlp/KR-BERT-char16424,2,shuffle,0.452487
KR-BERT,snunlp/KR-BERT-char16424,3,shuffle,0.480004
KR-BERT,snunlp/KR-BERT-char16424,4,shuffle,0.415302
KR-BERT,snunlp/KR-BERT-char16424,5,shuffle,0.357223
KR-BERT,snunlp/KR-BERT-char16424,6,shuffle,0.289045
KR-BERT,snunlp/KR-BERT-char16424,7,shuffle,0.270871
KR-BERT,snunlp/KR-BERT-char16424,8,shuffle,0.252432
KR-BERT,snunlp/KR-BERT-char16424,9,shuffle,0.213373
KR-BERT,snunlp/KR-BERT-char16424,10,shuffle,0.099402
KR-BERT,snunlp/KR-BERT-char16424,11,shuffle,0.168393
KR-BERT,snunlp/KR-BERT-char16424,12,shuffle,0.167019
KR-BERT,snunlp/KR-BERT-char16424,0,control,0.008777
KR-BERT,snunlp/KR-BERT-char16424,1,control,-0.008117
KR-BERT,snunlp/KR-BERT-char16424,2,control,0.036543
KR-BERT,snunlp/KR-BERT-char16424,3,control,-0.0305
KR-BERT,snunlp/KR-BERT-char16424,4,control,0.001262
KR-BERT,snunlp/KR-BERT-char16424,5,control,0.045428
KR-BERT,snunlp/KR-BERT-char16424,6,control,-0.03181
KR-BERT,snunlp/KR-BERT-char16424,7,control,-0.05566
KR-BERT,snunlp/KR-BERT-char16424,8,control,-0.067736
KR-BERT,snunlp/KR-BERT-char16424,9,control,-0.000511
KR-BERT,snunlp/KR-BERT-char16424,10,control,0.031375
KR-BERT,snunlp/KR-BERT-char16424,11,control,0.175805
KR-BERT,snunlp/KR-BERT-char16424,12,control,-0.047239
